Fecha,Año,Activo,Retorno_raw,Retorno_%,Decision,Mu_esperado,Sigma_incertidumbre,UCB_score
2016-11-04,2016,DHR,0.0519887517999553,5.20%,✅ buena,0.1034395313645912,0.1672885900027471,0.4380167113700855
2016-11-11,2016,DHR,-0.0240919838529418,-2.41%,❌ mala,0.1140710800179647,0.1658646597118014,0.4458003994415677
2016-11-18,2016,STLD,0.0722204239052752,7.22%,✅ buena,0.0533743503261445,0.2119233693642209,0.4772210890545865
2016-11-25,2016,UAL,-0.011699240086576,-1.17%,❌ mala,0.016500319444151,0.2118428008983693,0.4401859212408898
2016-12-02,2016,LUV,0.0414528519731511,4.15%,✅ buena,0.0327664855222291,0.2085558444475689,0.449878174417367
2016-12-09,2016,STLD,-0.011587128338577,-1.16%,❌ mala,0.0342518977165995,0.2077951789447769,0.4498422556061534
2016-12-16,2016,DHR,-0.0034084397956913,-0.34%,❌ mala,0.0875739436408447,0.1508448607586492,0.3892636651581431
2016-12-23,2016,DHR,-0.0124932138669781,-1.25%,❌ mala,0.0896189102297622,0.1441031084206183,0.3778251270709989
2016-12-30,2016,INCY,0.0801835163528281,8.02%,✅ buena,0.0167793134028455,0.1473304421327818,0.3114401976684092
2017-01-06,2017,INCY,0.0871572583712725,8.72%,✅ buena,0.0002261619549972,0.1473370963932125,0.2949003547414223
2017-01-13,2017,AXON,-0.0150614018097964,-1.51%,❌ mala,-0.0130527129867425,0.1504382141991484,0.2878237154115542
2017-01-20,2017,AXON,-0.0008048473825612,-0.08%,❌ mala,0.0012525010694399,0.1445397183702568,0.2903319378099537
2017-01-27,2017,AXON,0.0579943833460425,5.80%,✅ buena,0.0236090868172917,0.1411607293890076,0.3059305455953069
2017-02-03,2017,DXCM,-0.0169574502333865,-1.70%,❌ mala,-0.0390601352338382,0.1665655652838052,0.2940709953337723
2017-02-10,2017,DXCM,0.0236249923706055,2.36%,✅ buena,-0.0140941798039249,0.1497063840197924,0.28531858823566
2017-02-17,2017,DXCM,-0.0413969888254384,-4.14%,❌ mala,0.0122965114754614,0.1375151244022023,0.287326760279866
2017-02-24,2017,DXCM,0.0247134068968948,2.47%,✅ buena,0.0305768769219678,0.1367645342751309,0.3041059454722298
2017-03-03,2017,AXON,-0.0078912893200431,-0.79%,❌ mala,0.0520002159748083,0.1307803103949047,0.3135608367646178
2017-03-10,2017,DXCM,0.0070207183746291,0.70%,✅ buena,0.0451437250392972,0.1328400467391724,0.310823818517642
2017-03-17,2017,DXCM,0.0472810671288079,4.73%,✅ buena,0.0266410359481359,0.1332700828603273,0.2931812016687907
2017-03-24,2017,FCX,0.0429349596445969,4.29%,✅ buena,0.0323500478438913,0.1404950651616005,0.3133401781670925
2017-03-31,2017,FCX,0.0007486910726282,0.07%,✅ buena,0.0456104621520203,0.1382261493732601,0.3220627608985407
2017-04-07,2017,CF,-0.036936517804441,-3.69%,❌ mala,0.0389203209168191,0.1392930767971415,0.3175064745111022
2017-04-14,2017,DXCM,-0.0109123616658119,-1.09%,❌ mala,0.0414670058017518,0.1312938211139872,0.3040546480297263
2017-04-21,2017,NVDA,0.0257673390670587,2.58%,✅ buena,0.065489514823646,0.1376955440100291,0.3408806028437043
2017-04-28,2017,FCX,-0.0745099164136502,-7.45%,❌ mala,0.0450777466960599,0.1320262416584075,0.3091302300128749
2017-05-05,2017,PANW,0.0012896372574207,0.13%,✅ buena,-0.1091306435196097,0.1465978819434417,0.1840651203672736
2017-05-12,2017,DXCM,-0.0391933339761584,-3.92%,❌ mala,-0.0775575299424864,0.141512198644966,0.2054668673474455
2017-05-19,2017,DXCM,0.014631951081669,1.46%,✅ buena,-0.1003168901615054,0.1419515231119052,0.183586156062305
2017-05-26,2017,AMD,-0.0090909437699751,-0.91%,❌ mala,-0.1106499657255837,0.1451504234956286,0.1796508812656735
2017-06-02,2017,BLDR,0.0256587991401853,2.57%,✅ buena,-0.0776794251057273,0.1501206888086829,0.2225619525116386
2017-06-09,2017,MOH,0.0083553163973153,0.84%,✅ buena,-0.0455202842929813,0.1415511712410455,0.2375820581891096
2017-06-16,2017,MOH,0.0369239843250825,3.69%,✅ buena,-0.0549157691509598,0.1432732487293598,0.2316307283077597
2017-06-23,2017,MOH,-0.0301416160197386,-3.01%,❌ mala,-0.0318232738813017,0.1364659575213916,0.2411086411614814
2017-06-30,2017,ZTS,0.0033663408233559,0.34%,✅ buena,-0.0505813370640189,0.1387787891704359,0.2269762412768529
2017-07-07,2017,ZTS,0.0121427604282207,1.21%,✅ buena,-0.0473241759050189,0.1372431095276974,0.2271620431503758
2017-07-14,2017,DLTR,0.0257560232032505,2.58%,✅ buena,-0.06564500178174,0.1495387324183018,0.2334324630548636
2017-07-21,2017,NRG,0.0290208909595961,2.90%,✅ buena,-0.0687254627509554,0.1456937210203176,0.2226619792896798
2017-07-28,2017,ZTS,-0.0014465475934388,-0.14%,❌ mala,-0.0089995741515453,0.1282054228989257,0.2474112716463061
2017-08-04,2017,ULTA,0.0033973066102452,0.34%,✅ buena,0.0222602074601931,0.1223691691030615,0.2669985456663162
2017-08-11,2017,PANW,0.0110990103134502,1.11%,✅ buena,-0.0593785731787515,0.1360966416155465,0.2128147100523416
2017-08-18,2017,VTRS,-0.0061847895773483,-0.62%,❌ mala,-0.055313897974385,0.148598026670896,0.2418821553674071
2017-08-25,2017,NRG,0.0093573546690117,0.94%,✅ buena,-0.0362879535529914,0.1294470907998886,0.2226062280467857
2017-09-01,2017,CAH,0.0079622360166575,0.80%,✅ buena,-0.0698957277290281,0.1418295940044747,0.2137634602799212
2017-09-08,2017,INCY,-0.0796385343218425,-7.96%,❌ mala,-0.0412774694738313,0.128544035147454,0.2158106008210766
2017-09-15,2017,LLY,0.0178313623309238,1.78%,✅ buena,-0.0643541500706093,0.1347505578586971,0.205146965646785
2017-09-22,2017,INCY,0.0531348621626144,5.31%,✅ buena,-0.0436241673879715,0.1300158770430603,0.2164075866981491
2017-09-29,2017,INCY,-0.0174747383318263,-1.75%,❌ mala,0.0127837225697755,0.1234388297362741,0.2596613820423239
2017-10-06,2017,EOG,0.0044701530839117,0.45%,✅ buena,0.0074167941564931,0.1469133573652259,0.301243508886945
2017-10-13,2017,VRTX,0.0112484545125239,1.12%,✅ buena,-0.0160683093937126,0.1565854042231353,0.297102499052558
2017-10-20,2017,AMD,-0.1426502684410118,-14.27%,❌ mala,0.0497250021812649,0.1228425206522692,0.2954100434858033
2017-10-27,2017,NVDA,0.0338354154029036,3.38%,✅ buena,0.0363412987007605,0.1233723604281018,0.2830860195569643
2017-11-03,2017,AMD,0.0125899590614713,1.26%,✅ buena,0.0697504117164546,0.1148716082947957,0.2994936283060461
2017-11-10,2017,AMD,0.0106571832255635,1.07%,✅ buena,0.0677369372207441,0.1170139345290491,0.3017648062788424
2017-11-17,2017,AMD,0.0,0.00%,❌ mala,0.0523321733452541,0.1233705229210081,0.2990732191872703
2017-11-24,2017,AMD,-0.0571178001465708,-5.71%,❌ mala,0.0416727437010235,0.1203256291678841,0.2823240020367918
2017-12-01,2017,INCY,-0.0138860585710643,-1.39%,❌ mala,0.0459921010306323,0.1107582263338465,0.2675085536983255
2017-12-08,2017,AMD,0.0352113074693138,3.52%,✅ buena,0.0763741309763426,0.1093277865718872,0.2950297041201171
2017-12-15,2017,AZO,0.0186928375498691,1.87%,✅ buena,-0.0186007228166698,0.1468062418692277,0.2750117609217856
2017-12-22,2017,WBD,-0.0568900298150828,-5.69%,❌ mala,-0.0021458154072642,0.1354993126042002,0.2688528098011363
2017-12-29,2017,WBD,-0.0169794090713265,-1.70%,❌ mala,0.0202857223902608,0.1329563541121746,0.2861984306146101
2018-01-05,2018,WBD,0.1059090874411843,10.59%,✅ buena,0.0215704302199071,0.1189602583716592,0.2594909469632255
2018-01-12,2018,DXCM,-0.0123348152059815,-1.23%,❌ mala,0.0696422258819438,0.1069159378883326,0.2834741016586092
2018-01-19,2018,DVN,0.0235707938383962,2.36%,✅ buena,-0.0068707695394276,0.1544728978660505,0.3020750261926734
2018-01-26,2018,LRCX,-0.1160587607256313,-11.61%,❌ mala,0.035965446750924,0.121984183806519,0.2799338143639622
2018-02-02,2018,DXCM,-0.0511522410547744,-5.12%,❌ mala,0.0573136892392616,0.119318780626287,0.2959512504918357
