date,prev_date,asset_idx,l2,cos
2024-05-24,2024-05-17,11,0.006217212604949793,1.207941265124468e-06
2024-05-24,2024-05-17,12,0.011321026662108552,4.005216387326094e-06
2024-05-24,2024-05-17,13,0.010167473706251524,3.2305800656828865e-06
2024-05-24,2024-05-17,14,0.020659109749977905,1.3337597001283896e-05
2024-05-24,2024-05-17,15,0.012978031168394535,5.263469116001396e-06
2024-05-24,2024-05-17,16,0.01605626461106345,8.056444276149932e-06
2024-05-24,2024-05-17,17,0.011159225697866312,3.89154927271651e-06
2024-05-24,2024-05-17,18,0.0064737343777578876,1.3096768700648909e-06
2024-05-24,2024-05-17,19,0.013928080027048245,6.062292966291238e-06
2024-05-24,2024-05-17,20,0.017723407320774102,9.816323001121674e-06
2024-05-24,2024-05-17,21,0.009178536521540227,2.632699437121744e-06
2024-05-24,2024-05-17,22,0.003982954386482006,4.957527278692808e-07
2024-05-24,2024-05-17,23,0.0054134875035517,9.158170324319315e-07
2024-05-24,2024-05-17,24,0.018881428310483964,1.1140996783787216e-05
2024-05-24,2024-05-17,25,0.008005947708181471,2.0029950515976225e-06
2024-05-24,2024-05-17,26,0.011209443244420176,3.926652655139584e-06
2024-05-24,2024-05-17,27,0.005956726956229505,1.1088423664817881e-06
2024-05-24,2024-05-17,28,0.00343249747078198,3.6819246751473855e-07
2024-05-24,2024-05-17,29,0.010257007683724936,3.287727274203789e-06
2024-05-24,2024-05-17,30,0.0031632649241814925,3.1269835487623965e-07
2024-05-24,2024-05-17,31,0.00568637890567312,1.0104761490881131e-06
2024-05-24,2024-05-17,32,0.0072569480904307706,1.6457444647066666e-06
2024-05-24,2024-05-17,33,0.009280975767215009,2.69179303757916e-06
2024-05-24,2024-05-17,34,0.00524090838035357,8.58356326682852e-07
2024-05-24,2024-05-17,35,0.005902460288390993,1.0887309274121293e-06
2024-05-24,2024-05-17,36,0.007317755600099238,1.6734401124818277e-06
2024-05-24,2024-05-17,37,0.01162949481284477,4.226453223288296e-06
2024-05-24,2024-05-17,38,0.01560911674724469,7.613967630826224e-06
2024-05-24,2024-05-17,39,0.005362359941627494,8.985998716237731e-07
2024-05-24,2024-05-17,40,0.013156370764821334,5.409119817834096e-06
2024-05-24,2024-05-17,41,0.013189693691991711,5.4365551050983285e-06
2024-05-24,2024-05-17,42,0.006445923824850512,1.2984484559774856e-06
2024-05-24,2024-05-17,43,0.002958446244673762,2.7351543629983155e-07
2024-05-24,2024-05-17,44,0.023478152066631328,1.722591048425315e-05
2024-05-24,2024-05-17,45,0.01707700660377905,9.113346306266479e-06
2024-05-24,2024-05-17,46,0.014572364071213125,6.636122271475031e-06
2024-05-24,2024-05-17,47,0.01953674309362749,1.192775429081916e-05
2024-05-31,2024-05-24,0,0.004974656039097798,7.733579640012422e-07
2024-05-31,2024-05-24,1,0.01919184871179687,1.1510336954789757e-05
2024-05-31,2024-05-24,2,0.004151371742611603,5.385644786803923e-07
2024-05-31,2024-05-24,3,0.008318008806551225,2.162186377718811e-06
2024-05-31,2024-05-24,4,0.010143137942208849,3.2151335326302544e-06
2024-05-31,2024-05-24,5,0.012344774025259029,4.762343111308631e-06
2024-05-31,2024-05-24,6,0.014878800747033159,6.918153628299173e-06
2024-05-31,2024-05-24,7,0.002173657521337539,1.4765113320880374e-07
2024-05-31,2024-05-24,8,0.01713882467088631,9.179445787932394e-06
2024-05-31,2024-05-24,9,0.0052072054137276055,8.473519554907938e-07
2024-05-31,2024-05-24,10,0.009963256901304582,3.1021094063499177e-06
2024-05-31,2024-05-24,11,0.004256582763179724,5.662087556590478e-07
2024-05-31,2024-05-24,12,0.005873073477297345,1.0779168183594479e-06
2024-05-31,2024-05-24,13,0.009055377216557416,2.562521378424165e-06
2024-05-31,2024-05-24,14,0.014167010910127478,6.272069428381322e-06
2024-05-31,2024-05-24,15,0.009208455169066675,2.6498908595185e-06
2024-05-31,2024-05-24,16,0.010322269702789296,3.3296977450802956e-06
2024-05-31,2024-05-24,17,0.010580643704214314,3.4984732283360742e-06
2024-05-31,2024-05-24,18,0.006534607566392057,1.334422613075148e-06
2024-05-31,2024-05-24,19,0.00580344769689551,1.0525108169456843e-06
2024-05-31,2024-05-24,20,0.0188540901038793,1.1108759229272458e-05
2024-05-31,2024-05-24,21,0.013979098185314849,6.1067859358221455e-06
2024-05-31,2024-05-24,22,0.005991360670280925,1.1217739035451757e-06
2024-05-31,2024-05-24,23,0.007428703366410079,1.7245687226052908e-06
2024-05-31,2024-05-24,24,0.019260059308510796,1.1592299418050622e-05
2024-05-31,2024-05-24,25,0.004413447274706212,6.08709809113428e-07
2024-05-31,2024-05-24,26,0.011414850230557808,4.071878721645383e-06
2024-05-31,2024-05-24,27,0.001238254053499463,4.791532381975827e-08
2024-05-31,2024-05-24,28,0.0029806207727945864,2.7763098109367945e-07
2024-05-31,2024-05-24,29,0.002699238586793296,2.2768639240666744e-07
2024-05-31,2024-05-24,30,0.008207217410352326,2.1049718541554796e-06
2024-05-31,2024-05-24,31,0.008877937468738816,2.4630801823688486e-06
2024-05-31,2024-05-24,32,0.0013913185565049204,6.049338996394482e-08
2024-05-31,2024-05-24,33,0.008785314165887842,2.4119535287914218e-06
2024-05-31,2024-05-24,34,0.002214967077648728,1.5331657898798312e-07
2024-05-31,2024-05-24,35,0.0067274579030885155,1.414348370643026e-06
2024-05-31,2024-05-24,36,0.009289842140940297,2.6969387432185243e-06
2024-05-31,2024-05-24,37,0.011205926350356703,3.924188726189826e-06
2024-05-31,2024-05-24,38,0.002835684883204485,2.512872114834863e-07
2024-05-31,2024-05-24,39,0.010057162039784184,3.1608603816568603e-06
2024-05-31,2024-05-24,40,0.014713378598232078,6.765177700263081e-06
2024-05-31,2024-05-24,41,0.012583683134744238,4.948458748099682e-06
2024-05-31,2024-05-24,42,0.005136811033741255,8.245966747200129e-07
2024-05-31,2024-05-24,43,0.009041476202436826,2.5546597105519098e-06
2024-05-31,2024-05-24,44,0.0033619229501311372,3.5320753544176853e-07
2024-05-31,2024-05-24,45,0.011651388592431656,4.242381705155118e-06
2024-05-31,2024-05-24,46,0.011719676429575358,4.292256275295614e-06
2024-05-31,2024-05-24,47,0.004532538765415549,6.420036425813791e-07
2024-06-07,2024-05-31,0,0.006961507915096927,1.5144712586234732e-06
2024-06-07,2024-05-31,1,0.022012122079035575,1.5141823879516458e-05
2024-06-07,2024-05-31,2,0.004704062604105334,6.915133695661879e-07
2024-06-07,2024-05-31,3,0.0030309209146270988,2.870804979293595e-07
2024-06-07,2024-05-31,4,0.004848190349598177,7.345370478528679e-07
2024-06-07,2024-05-31,5,0.02852254531722353,2.5423240942346048e-05
2024-06-07,2024-05-31,6,0.009534355973318684,2.8407768134508515e-06
2024-06-07,2024-05-31,7,0.004441586504013964,6.164965911104048e-07
2024-06-07,2024-05-31,8,0.005336119098961708,8.898266529167032e-07
2024-06-07,2024-05-31,9,0.020473301772855855,1.3098759431673379e-05
2024-06-07,2024-05-31,10,0.01811315444840876,1.0252802577270792e-05
2024-06-07,2024-05-31,11,0.012162072758419443,4.6224220121571236e-06
2024-06-07,2024-05-31,12,0.008754167242104677,2.394881640110924e-06
2024-06-07,2024-05-31,13,0.0057382576985860355,1.0289979786026748e-06
2024-06-07,2024-05-31,14,0.010966073822947434,3.7579996043923813e-06
2024-06-07,2024-05-31,15,0.0030744367507114863,2.953830694485404e-07
2024-06-07,2024-05-31,16,0.0022940616361337178,1.644616678397881e-07
2024-06-07,2024-05-31,17,0.007263350574398601,1.6486497803613887e-06
2024-06-07,2024-05-31,18,0.009755923038875888,2.974342893646842e-06
2024-06-07,2024-05-31,19,0.0024458234750691994,1.8694107528638426e-07
2024-06-07,2024-05-31,20,0.0040034196776044684,5.008603587430827e-07
2024-06-07,2024-05-31,21,0.004126142670329652,5.320383366091974e-07
2024-06-07,2024-05-31,22,0.004666567092746772,6.805333505610633e-07
2024-06-07,2024-05-31,23,0.011512038458659495,4.141511683708465e-06
2024-06-07,2024-05-31,24,0.0030911901590118915,2.986110625435856e-07
2024-06-07,2024-05-31,25,0.003254803532560401,3.310579657078705e-07
2024-06-07,2024-05-31,26,0.0067430281881537294,1.42090277910345e-06
2024-06-07,2024-05-31,27,0.02485025763209541,1.9298170396142567e-05
2024-06-07,2024-05-31,28,0.006618299164300547,1.3688226617736277e-06
2024-06-07,2024-05-31,29,0.011059668042995373,3.822421456356473e-06
2024-06-07,2024-05-31,30,0.00284293831421602,2.52574417380913e-07
2024-06-07,2024-05-31,31,0.0023702534815340497,1.7556747622382574e-07
2024-06-07,2024-05-31,32,0.0029417211745890828,2.7043160155670876e-07
2024-06-07,2024-05-31,33,0.01485031093554453,6.891686158860821e-06
2024-06-07,2024-05-31,34,0.010040789739822939,3.150577252641895e-06
2024-06-07,2024-05-31,35,0.013961761300031173,6.091648262818161e-06
2024-06-07,2024-05-31,36,0.01076934413691484,3.624373577149065e-06
2024-06-07,2024-05-31,37,0.011347637642548798,4.0240677744440845e-06
2024-06-07,2024-05-31,38,0.006296734754455618,1.2390394528161153e-06
2024-06-07,2024-05-31,39,0.004125772906246727,5.319429756678318e-07
2024-06-07,2024-05-31,40,0.003811732868604961,4.540455008639199e-07
2024-06-07,2024-05-31,41,0.014509345453819484,6.578851334482216e-06
2024-06-07,2024-05-31,42,0.01575439749607115,7.756360599353584e-06
2024-06-07,2024-05-31,43,0.011100098877340883,3.850419346362877e-06
2024-06-07,2024-05-31,44,0.002217472731140852,1.5366365269109394e-07
2024-06-07,2024-05-31,45,0.0063005159644729915,1.2405281352156905e-06
2024-06-07,2024-05-31,46,0.013233004598266611,5.4723186503347065e-06
2024-06-07,2024-05-31,47,0.018029085600106305,1.0157850117931133e-05
2024-06-14,2024-06-07,0,0.0020358472968133854,1.2952242833819128e-07
2024-06-14,2024-06-07,1,0.03422010477200133,3.659460305049933e-05
2024-06-14,2024-06-07,2,0.004480334721440846,6.273000929812866e-07
