date,prev_date,frob_perm,frob_norm_perm
2024-05-24,2024-05-17,0.2341876268244187,0.00845056046508286
2024-05-31,2024-05-24,0.22892654347999322,0.008260716641942625
2024-06-07,2024-05-31,0.2234753801893953,0.008064013611647403
2024-06-14,2024-06-07,0.21556961475379752,0.007778737466557198
2024-06-21,2024-06-14,0.31125643867906083,0.011231555660320235
2024-06-28,2024-06-21,0.2849008675544966,0.010280526066500827
2024-07-05,2024-06-28,0.26185136059774994,0.009448794444525102
2024-07-12,2024-07-05,0.29176932656169,0.010528371580677445
2024-07-19,2024-07-12,0.2719776472410917,0.009814197217740624
2024-07-26,2024-07-19,0.31615858172783196,0.011408447520069172
2024-08-02,2024-07-26,0.35315797810457455,0.012743554699094233
2024-08-09,2024-08-02,0.31118360137642515,0.011228927330479487
2024-08-16,2024-08-09,0.32504239980904936,0.011729016021488726
2024-08-23,2024-08-16,0.3071698237072769,0.01108409179889885
2024-08-30,2024-08-23,0.2910890563807232,0.010503824428741391
2024-09-06,2024-08-30,0.2916320813645301,0.010523419243169761
2024-09-13,2024-09-06,0.2921643940265601,0.010542627570334332
2024-09-20,2024-09-13,0.3156279376040341,0.011389299417424802
2024-09-27,2024-09-20,0.2772589660148591,0.010004771385698616
2024-10-04,2024-09-27,0.25430320820380536,0.009176422712553596
2024-10-11,2024-10-04,0.29973793573584206,0.010815915597689985
2024-10-18,2024-10-11,0.29070526604743097,0.010489975751700673
2024-10-25,2024-10-18,0.24008697893864317,0.008663436232051175
2024-11-01,2024-10-25,0.28745366042068177,0.010372642713659888
2024-11-08,2024-11-01,0.2740437252526898,0.00988875069126503
2024-11-15,2024-11-08,0.27785217454064465,0.010026176989731888
2024-11-22,2024-11-15,0.2618074254669239,0.009447209257593825
2024-11-29,2024-11-22,0.34509452441809213,0.012452588616250895
2024-12-06,2024-11-29,0.31889265113893434,0.011507105284159116
2024-12-13,2024-12-06,0.2888401930730054,0.010422675091357213
2024-12-20,2024-12-13,0.2752290090825536,0.009931521384398602
2024-12-27,2024-12-20,0.3084107756076538,0.01112887145180877
2025-01-03,2024-12-27,0.34956570861017605,0.012613929431080556
2025-01-10,2025-01-03,0.2764330001920436,0.009974966749782686
2025-01-17,2025-01-10,0.32205563183142694,0.011621239936639613
2025-01-24,2025-01-17,0.34963054192920356,0.012616268916055606
2025-01-31,2025-01-24,0.3015823530155961,0.010882470664655607
2025-02-07,2025-01-31,0.26269976582065013,0.009479408948988032
2025-02-14,2025-02-07,0.2879225934587114,0.010389563903084167
2025-02-21,2025-02-14,0.3018768815557738,0.010893098604154034
2025-02-28,2025-02-21,0.2929738097519191,0.010571835092525926
2025-03-07,2025-02-28,0.2850179883029748,0.010284752557549147
2025-03-14,2025-03-07,0.3126777804829541,0.01128284442770672
2025-03-21,2025-03-14,0.34345678668955615,0.01239349163424067
2025-03-28,2025-03-21,0.279770907292602,0.010095413737052238
2025-04-04,2025-03-28,0.23734399499712194,0.008564456699715828
2025-04-11,2025-04-04,0.22552163454875587,0.008137851892465374
2025-04-18,2025-04-11,0.2552570342020779,0.009210840980384615
2025-04-25,2025-04-18,0.33378915011750443,0.012044639146890855
2025-05-02,2025-04-25,0.36271375126163197,0.013088370914770334
2025-05-09,2025-05-02,0.40975207803542907,0.014785729118404176
2025-05-16,2025-05-09,0.4000873597739349,0.014436982552777493
2025-05-23,2025-05-16,0.44357913122223297,0.016006364043671548
2025-05-30,2025-05-23,0.41504329451035277,0.0149766608561427
2025-06-06,2025-05-30,0.33002462094918233,0.011908798071058239
2025-06-13,2025-06-06,0.28677147145527276,0.010348026485840947
2025-06-20,2025-06-13,0.27923395207071083,0.010076038309579843
2025-06-27,2025-06-20,0.2676556702952144,0.009658240900664259
2025-07-04,2025-06-27,0.2900558227881564,0.010466540884137617
2025-07-11,2025-07-04,0.29326559058025725,0.01058236397456866
2025-07-18,2025-07-11,0.28091789537858186,0.010136802822643096
2025-07-25,2025-07-18,0.2719239224368493,0.009812259125163928
2025-08-01,2025-07-25,0.26495894930414043,0.009560931028051802
2025-08-08,2025-08-01,0.28174320298594235,0.01016658350280343
2025-08-15,2025-08-08,0.3051783033468553,0.011012228957464615
2025-08-22,2025-08-15,0.3186219645756362,0.01149733802213579
2025-08-29,2025-08-22,0.2770361434530267,0.009996731235284774
2025-09-05,2025-08-29,0.326555221271593,0.011783606163990412
2025-09-12,2025-09-05,0.302306324933864,0.010908595072072971
2025-09-19,2025-09-12,0.30326926561037415,0.010943342290444847
2025-09-26,2025-09-19,0.2589773615217557,0.0093450877490985
2025-10-03,2025-09-26,0.2161582520322427,0.007799978326243444
2025-10-10,2025-10-03,0.20311369423815334,0.007329271109768512
2025-10-17,2025-10-10,0.18595935526121846,0.006710264003172828
2025-10-24,2025-10-17,0.2146112905852722,0.007744156854460889
2025-10-31,2025-10-24,0.21406094452442387,0.00772429780885591
2025-11-07,2025-10-31,0.22225341554809716,0.008019919663708385
2025-11-14,2025-11-07,0.23251857213926863,0.00839033327010305
2025-11-21,2025-11-14,0.21017547416993404,0.007584092276095257
2025-11-28,2025-11-21,0.19719633723379176,0.007115745606896028
2025-12-05,2025-11-28,0.17742312897389645,0.006402237809766898
2025-12-12,2025-12-05,0.16161098498112322,0.005831663443019951
2025-12-19,2025-12-12,0.16701743946462727,0.0060267530729283545
2025-12-26,2025-12-19,0.1746883126034796,0.006303553133286287
