date,prev_date,asset_idx,l2,cos
2024-03-29,2024-03-22,24,0.015480962911616828,7.489456722575838e-06
2024-03-29,2024-03-22,25,0.005277780859681543,8.704766782940965e-07
2024-03-29,2024-03-22,26,0.010724853475065896,3.5944889998917873e-06
2024-03-29,2024-03-22,27,0.007299229675571577,1.6649779358557382e-06
2024-03-29,2024-03-22,28,0.01040475626677834,3.3831266582629027e-06
2024-03-29,2024-03-22,29,0.008184903154964592,2.0935411026989925e-06
2024-03-29,2024-03-22,30,0.009074702672022027,2.5734705105806555e-06
2024-03-29,2024-03-22,31,0.0018282263506688519,1.0445148002080629e-07
2024-03-29,2024-03-22,32,0.0019284153778339615,1.1621327566935236e-07
2024-03-29,2024-03-22,33,0.019676558687802277,1.2099089994666024e-05
2024-03-29,2024-03-22,34,0.012016890097029912,4.512721315186319e-06
2024-03-29,2024-03-22,35,0.008600258001370879,2.3114117911893217e-06
2024-03-29,2024-03-22,36,0.010237515957945179,3.2752433986038554e-06
2024-03-29,2024-03-22,37,0.014908817692802024,6.946095726156898e-06
2024-03-29,2024-03-22,38,0.004969762419288809,7.718371924925194e-07
2024-03-29,2024-03-22,39,0.017352242633356902,9.409480318134378e-06
2024-03-29,2024-03-22,40,0.019805193169418926,1.2257802153081698e-05
2024-03-29,2024-03-22,41,0.01745654211352987,9.522934661609916e-06
2024-03-29,2024-03-22,42,0.008275696328639082,2.1402448533436313e-06
2024-03-29,2024-03-22,43,0.009340023467453036,2.7261536840184064e-06
2024-03-29,2024-03-22,44,0.019876068948035265,1.2345690688531086e-05
2024-03-29,2024-03-22,45,0.010173574533751636,3.234458261447415e-06
2024-03-29,2024-03-22,46,0.013900553649494501,6.038353873583091e-06
2024-03-29,2024-03-22,47,0.009902330717580368,3.0642850751272377e-06
2024-04-05,2024-03-29,0,0.016012534350092023,8.012620928754544e-06
2024-04-05,2024-03-29,1,0.0009232569794194785,2.6637935635065446e-08
2024-04-05,2024-03-29,2,0.013769882119766708,5.925361007075303e-06
2024-04-05,2024-03-29,3,0.011282181115728939,3.977777697450335e-06
2024-04-05,2024-03-29,4,0.0169324232144538,8.959682802456292e-06
2024-04-05,2024-03-29,5,0.006116475795648155,1.1691142935976728e-06
